Season,TeamID,ExtWL_Wins,ExtWL_Losses,ExtWL_Pushes,ExtWL_Games,ExtWL_WinPct,ExtWL_MOV,ExtWL_ATSPlusMinus,ExtATS_Wins,ExtATS_Losses,ExtATS_Pushes,ExtATS_Games,ExtATS_CoverPct,ExtATS_MOV,ExtATS_ATSPlusMinus,ExtOU_Overs,ExtOU_Unders,ExtOU_Pushes,ExtOU_Games,ExtOU_OverPct,ExtOU_UnderPct,ExtOU_TotalPlusMinus,ExtWL_WinsZ,ExtWL_LossesZ,ExtWL_PushesZ,ExtWL_GamesZ,ExtWL_WinPctZ,ExtWL_MOVZ,ExtWL_ATSPlusMinusZ,ExtATS_WinsZ,ExtATS_LossesZ,ExtATS_PushesZ,ExtATS_GamesZ,ExtATS_CoverPctZ,ExtATS_MOVZ,ExtATS_ATSPlusMinusZ,ExtOU_OversZ,ExtOU_UndersZ,ExtOU_PushesZ,ExtOU_GamesZ,ExtOU_OverPctZ,ExtOU_UnderPctZ,ExtOU_TotalPlusMinusZ,ExtCompositeSide,ExtCompositeTotal
2026,1299,11.0,19.0,0.0,30.0,0.36700000000000005,-2.8,1.5,16.0,12.0,0.0,28.0,0.5710000000000001,-2.8,1.5,16.0,12.0,0.0,28.0,0.5710000000000001,0.429,3.6,-1.0318896023372874,0.6641800983192558,0.0,-1.9586422791131262,-0.9033115155666341,-0.710729215917899,0.7925907898737741,0.27003363700281535,-1.2433446677581983,-0.6182533646242511,-1.621575085867478,0.858781364405678,-0.710729215917899,0.7925907898737741,0.28435196997444845,-1.2086420751578544,-0.39786339563090345,-1.618714253791492,0.8460734777452991,-0.846850320857976,0.9883689440304012,-0.2420424325880852,0.9031081907262415
2026,1300,14.0,18.0,0.0,32.0,0.43799999999999994,-3.6,-1.9,15.0,13.0,0.0,28.0,0.536,-3.6,-1.9,13.0,15.0,0.0,28.0,0.46399999999999997,0.536,2.1,-0.5116690155235997,0.4753750080649502,0.0,-0.348497162274635,-0.4849443224095891,-0.8343048566515101,-0.9980612586122147,-0.09773605518385477,-0.8626225169765352,-0.6182533646242511,-1.621575085867478,0.43693601775737045,-0.8343048566515101,-0.9980612586122147,-0.7298675971982591,-0.1913760703170774,-0.39786339563090345,-1.618714253791492,-0.31997210321816527,0.31911383627056833,0.48884711549108184,-0.5540938188976466,0.003684324307673126
2026,1301,20.0,13.0,0.0,33.0,0.606,7.2,-1.1,16.0,16.0,1.0,33.0,0.5,7.2,-1.1,21.0,12.0,0.0,33.0,0.636,0.364,7.0,0.5287721581037758,-0.4686504432065776,0.0,0.45657539614461057,0.5049949515394769,0.83396629325224,-0.5767313648508057,0.27003363700281535,0.279543935368454,1.1447347454370898,1.1915185754520554,0.003037946919111266,0.83396629325224,-0.5767313648508057,1.9747179152622945,-1.2086420751578544,-0.39786339563090345,1.1840879408664517,1.5544189241249724,-1.5551463041603624,2.1206184220528583,0.3120475400821945,1.7810078303014354
2026,1303,16.0,17.0,0.0,33.0,0.485,-0.5,0.1,14.0,15.0,0.0,29.0,0.483,-0.5,0.1,14.0,14.0,1.0,29.0,0.5,0.5,-0.6,-0.1648552909811412,0.28656991781064467,0.0,0.45657539614461057,-0.20799702553098118,-0.35544924880876705,0.05526347579130812,-0.4655057473705249,-0.10117821541320905,-0.6182533646242511,-1.0589563536035713,-0.20185836431006668,-0.35544924880876705,0.05526347579130812,-0.39179440814068994,-0.5304647385973363,2.022472261123759,-1.0581538148599035,0.07234229785365451,-0.07317316986613838,-0.410292175879693,-0.1986597930667219,-0.12058686083781193
2026,1304,26.0,6.0,0.0,32.0,0.813,11.1,2.4,17.0,14.0,1.0,32.0,0.5479999999999999,11.1,2.4,10.0,22.0,0.0,32.0,0.313,0.688,-7.3,1.5692133317311512,-1.7902860749867167,0.0,-0.348497162274635,1.724741556941004,1.4363975418285941,1.2665869203553592,0.6378033291894856,-0.48190036619487214,1.1447347454370898,0.6288998431881486,0.5815687080367888,1.4363975418285941,1.2665869203553592,-1.7440871643709666,2.1822446076447353,-0.39786339563090345,0.623527501934863,-1.9655130632694076,1.9754367510699942,-2.641489676688653,1.3751314977545197,-2.2373922618071935
2026,1305,22.0,12.0,0.0,34.0,0.647,4.4,1.0,19.0,15.0,0.0,34.0,0.5589999999999999,4.4,1.0,20.0,14.0,0.0,34.0,0.588,0.41200000000000003,3.4,0.8755858826462342,-0.6574555334608831,0.0,1.2616479545638561,0.7465872743484753,0.4014515506846011,0.5292596062728934,1.3733427135628258,-0.10117821541320905,-0.6182533646242511,1.754137307715962,0.7141486741262569,0.4014515506846011,0.5292596062728934,1.6366447262047252,-0.5304647385973363,-0.39786339563090345,1.7446483797980405,1.0313330560292129,-1.0320969626447536,0.921766033558492,0.5947152336008639,0.9876208330332557
2026,1306,9.0,21.0,0.0,30.0,0.3,-5.4,-2.3,12.0,16.0,0.0,28.0,0.429,-5.4,-2.3,15.0,13.0,0.0,28.0,0.536,0.46399999999999997,0.8,-1.378703326879746,1.041790278827867,0.0,-1.9586422791131262,-1.2981087260106072,-1.1123500483021354,-1.2087262054929193,-1.2010451317438653,0.279543935368454,-0.6182533646242511,-1.621575085867478,-0.8527054705674548,-1.1123500483021354,-1.2087262054929193,-0.05372121908312074,-0.8695534068775953,-0.39786339563090345,-1.618714253791492,0.4646566989254743,-0.46546017600284506,0.05592819742367173,-1.1576941302780552,0.30128581988635883
2026,1307,23.0,10.0,0.0,33.0,0.6970000000000001,9.7,2.0,16.0,15.0,0.0,31.0,0.516,9.7,2.0,22.0,9.0,0.0,31.0,0.71,0.29,2.6,1.0489927449174634,-1.0350657139694943,0.0,0.45657539614461057,1.041212058261888,1.2201401705447745,1.0559219734746548,0.27003363700281535,-0.10117821541320905,-0.6182533646242511,0.06628111092424198,0.19588153395833757,1.2201401705447745,1.0559219734746548,2.3127911043198637,-2.2259080799986313,-0.39786339563090345,0.06296706300327416,2.360842970772601,-2.3615140389969254,0.655354391670855,0.9710328963437748,1.678748199365551
2026,1308,16.0,16.0,0.0,32.0,0.5,3.1,-1.4,14.0,15.0,0.0,29.0,0.483,3.1,-1.4,17.0,11.0,1.0,29.0,0.607,0.39299999999999996,3.2,-0.1648552909811412,0.09776482755633908,0.0,-0.348497162274635,-0.11960959035695737,0.200641134492483,-0.734730075011334,-0.4655057473705249,-0.10117821541320905,-0.6182533646242511,-1.0589563536035713,-0.20185836431006668,0.200641134492483,-0.734730075011334,0.6224251590320177,-1.5477307434381133,2.022472261123759,-1.0581538148599035,1.2383878788171176,-1.2391373269946826,0.8551631230865828,-0.15889578592596698,1.0852103937515385
2026,1309,15.0,18.0,0.0,33.0,0.455,-3.2,3.4,19.0,14.0,0.0,33.0,0.5760000000000001,-3.2,3.4,19.0,14.0,0.0,33.0,0.5760000000000001,0.424,2.0,-0.33826215325237047,0.4753750080649502,0.0,0.45657539614461057,-0.3847718958790285,-0.7725170362847045,1.7932492875571207,1.3733427135628258,-0.48190036619487214,-0.6182533646242511,1.1915185754520554,0.9190449853554362,-0.7725170362847045,1.7932492875571207,1.298571537147156,-0.5304647385973363,-0.39786339563090345,1.1840879408664517,0.900561589005274,-0.9013346272658519,0.4555456602551272,0.1300813308716683,0.722671173244302
