model,feature,gain
margin_q10,Diff_Last10OffRating,0.8930144906044006
margin_q10,Diff_Last10DefRating,0.8839855790138245
margin_q10,Diff_eFGMean,0.8837491869926453
margin_q10,Avg_EloPeak,0.8825879096984863
margin_q10,Diff_Last5Score,0.8775674700737
margin_q10,Diff_NumOTMean,0.8630673289299011
margin_q10,Diff_BlkMean,0.8534043431282043
margin_q10,Diff_DRBRateMean,0.8476284742355347
margin_q10,Diff_OffRatingMean,0.8454243540763855
margin_q10,Diff_TOMean,0.8425241112709045
margin_q10,Diff_Games,0.8357534408569336
margin_q10,Avg_AwayWinPct,0.8292413949966431
margin_q10,Avg_Last10Margin,0.8220649361610413
margin_q10,Diff_ASTTOVMean,0.8214909434318542
margin_q10,Diff_StlMean,0.8117494583129883
margin_q10,Avg_NumOTMean,0.81120365858078
margin_q10,Avg_Last10DefRating,0.7977964282035828
margin_q10,Avg_Last5Margin,0.7926618456840515
margin_q10,Avg_IsPlayInSeed,0.7875800132751465
margin_q10,Diff_Last5DefRating,0.786229133605957
margin_q10,Avg_TRBRateMean,0.778053343296051
margin_q10,B_IsPlayInSeed,0.7736098170280457
margin_q10,Diff_PFMean,0.7542139887809753
margin_q10,A_SeedNum,0.7528584003448486
margin_q10,Diff_Wins,0.7437682151794434
margin_q10,Diff_OppScoreMean,0.7269647717475891
margin_q10,Avg_OppFG3PctMean,0.7190048694610596
margin_q10,Diff_AstMean,0.6978005170822144
margin_q10,Diff_MarginStd,0.6808236241340637
margin_q10,Avg_Last5WinPct,0.6443444490432739
margin_q10,Diff_SeedRegionCode,0.6246808171272278
margin_q10,Avg_Last10NetRating,0.6135972142219543
margin_q10,Avg_Losses,0.5584989190101624
margin_q10,Diff_ThreeRateMean,0.5424631834030151
margin_q10,Diff_ScoreMean,0.4873577058315277
margin_q10,Diff_IsPlayInSeed,0.3090522289276123
margin_q25,Diff_MasseyWorstRank,23.07071304321289
margin_q25,Diff_MasseyMeanRank,12.658963203430176
margin_q25,Diff_MasseyMedianRank,9.763285636901855
margin_q25,Diff_MasseyStdRank,5.885842800140381
margin_q25,Diff_EloPeak,5.340568542480469
margin_q25,Diff_SeedNum,4.325945854187012
margin_q25,Diff_MasseyBestRank,4.2016072273254395
margin_q25,Diff_EloEnd,3.838939666748047
margin_q25,Avg_MasseyWorstRank,2.6771678924560547
margin_q25,Diff_NetRatingMean,2.5515143871307373
margin_q25,Diff_Last10Margin,2.4999499320983887
margin_q25,Diff_Last5NetRating,2.419536828994751
margin_q25,Avg_EloPeak,2.397294521331787
margin_q25,Avg_NeutralWinPct,2.3928747177124023
margin_q25,Avg_ScoreMean,2.3847758769989014
margin_q25,Avg_Games,2.382850170135498
margin_q25,Diff_TRBRateMean,2.359065055847168
margin_q25,B_SeedNum,2.3438382148742676
margin_q25,Avg_DefRatingMean,2.32846999168396
margin_q25,Avg_EloEnd,2.292206287384033
margin_q25,Avg_AstMean,2.2814977169036865
margin_q25,Avg_MasseySystems,2.2090959548950195
margin_q25,Diff_MarginMean,2.1955580711364746
margin_q25,Diff_ASTTOVMean,2.1932995319366455
