Team,ATS Record,Cover %,MOV,ATS +/-
Illinois,18-14-0,56.3%,14.6,2.6
Campbell,18-14-0,56.3%,1.5,0.4
Boston U,18-14-0,56.3%,1.5,0.2
Colorado St,18-14-0,56.3%,4.9,0.1
Texas A&M,18-14-0,56.3%,8.2,0.8
LSU,18-14-0,56.3%,2.9,-0.6
NJIT,18-14-0,56.3%,-6.2,1.2
Duke,19-15-0,55.9%,19.1,2.4
Nevada,19-15-0,55.9%,4.4,1.0
Long Beach St,16-13-1,55.2%,-2.9,0.4
W Michigan,16-13-0,55.2%,-4.7,1.1
App State,16-13-1,55.2%,6.0,0.9
Florida A&M,16-13-0,55.2%,-4.2,1.0
Hampton,16-13-0,55.2%,-0.8,-0.5
Florida Intl,16-13-0,55.2%,2.8,1.2
Rice,16-13-0,55.2%,-0.6,-1.4
Texas A&M-CC,16-13-0,55.2%,4.8,1.7
NW State,16-13-1,55.2%,-4.1,0.4
South Dakota,16-13-0,55.2%,-0.6,0.7
UC Davis,17-14-1,54.8%,2.5,0.8
Oakland,17-14-0,54.8%,0.9,-0.1
Alcorn St,17-14-1,54.8%,-13.3,-0.8
Troy,17-14-0,54.8%,7.2,-0.6
Florida Atlantic,17-14-0,54.8%,4.3,0.2
Illinois St,17-14-0,54.8%,6.7,1.4
N Texas,17-14-0,54.8%,3.5,-0.7
Nebraska,17-14-1,54.8%,11.1,2.4
Virginia Tech,17-14-1,54.8%,3.9,1.4
Miami,17-14-1,54.8%,10.8,1.1
Illinois Chicago,17-14-1,54.8%,5.5,3.4
Charlotte,18-15-0,54.6%,-1.1,0.8
TCU,18-15-0,54.6%,6.2,1.4
Iowa,18-15-0,54.6%,9.2,0.7
Gonzaga,18-15-0,54.6%,19.1,1.1
Morgan St,14-12-1,53.9%,-3.0,-1.1
Brown,14-12-0,53.9%,0.3,1.6
Marist,15-13-1,53.6%,5.8,1.6
C Michigan,15-13-1,53.6%,-3.5,1.4
NC Wilmington,15-13-2,53.6%,9.3,0.6
E Illinois,15-13-2,53.6%,-3.2,0.8
N Colorado,15-13-1,53.6%,6.0,0.5
NC Central,15-13-0,53.6%,-3.6,-1.9
New Haven,15-13-0,53.6%,-1.4,1.3
American,16-14-0,53.3%,3.3,-0.3
Pacific,16-14-1,53.3%,3.9,2.0
Cal Poly,16-14-1,53.3%,-2.9,1.3
William & Mary,16-14-0,53.3%,5.4,0.8
Weber St,16-14-0,53.3%,3.9,1.4
S Alabama,16-14-0,53.3%,4.8,0.9
Tulsa,16-14-1,53.3%,12.6,4.5
UMass Lowell,16-14-0,53.3%,-1.4,-0.3
Virginia,17-15-2,53.1%,12.2,1.5
Ohio St,17-15-1,53.1%,7.0,2.0
Monmouth,17-15-1,53.1%,1.8,1.9
Akron,17-15-0,53.1%,14.9,1.7
Santa Clara,17-15-1,53.1%,10.4,2.7
UCSD,17-15-0,53.1%,5.4,-0.3
Grand Canyon,17-15-0,53.1%,7.0,0.8
Vanderbilt,18-16-0,52.9%,11.1,1.0
C Connecticut,14-13-1,51.9%,2.9,-1.6
Binghamton,14-13-0,51.9%,-7.0,-1.7
Loyola MD,15-14-1,51.7%,-1.8,-0.5
Gardner-Webb,15-14-1,51.7%,-17.3,-3.0
Delaware,15-14-1,51.7%,-6.3,-0.5
UT Martin,15-14-0,51.7%,6.6,1.6
NC Asheville,15-14-0,51.7%,0.5,-0.2
SIU Edward,15-14-0,51.7%,6.3,1.2
California,16-15-0,51.6%,4.6,1.3
Stanford,16-15-1,51.6%,3.3,0.3
UC Irvine,16-15-1,51.6%,9.0,0.4
George Mason,16-15-0,51.6%,5.8,-1.0
S Illinois,16-15-0,51.6%,3.4,1.7
New Mexico,16-15-0,51.6%,9.7,2.0
Texas,16-15-0,51.6%,7.0,-0.4
San Diego,16-15-0,51.6%,-3.4,-0.5
Le Moyne,16-15-0,51.6%,-0.2,0.9
UCLA,17-16-1,51.5%,6.7,0.4
Pittsburgh,17-16-0,51.5%,-1.3,-0.5
Rutgers,17-16-0,51.5%,-4.5,0.0
Florida,17-16-0,51.5%,14.8,1.2
NC State,16-16-1,50.0%,7.2,-1.1
Clemson,16-16-1,50.0%,7.4,0.3
Southern Miss,16-16-0,50.0%,0.9,1.4
Northwestern,16-16-2,50.0%,1.2,0.6
Michigan St,15-15-2,50.0%,10.5,1.4
Holy Cross,15-15-0,50.0%,-5.1,-0.2
Idaho,16-16-0,50.0%,6.1,0.9
UC Riverside,14-14-2,50.0%,-4.9,0.4
Chicago St,15-15-1,50.0%,-10.3,0.4
S Utah,14-14-1,50.0%,-3.2,0.0
