Round,GameDateET,TipTimeET,Network,Region,Slot,TeamA,TeamB,TeamAID,TeamBID,SeedA,SeedB,Notes,EventID,CommenceTimeUTC,MarketMoneylineTeamA,MarketMoneylineTeamB,MarketSpreadTeamA,MarketSpreadPriceA,MarketSpreadPriceB,MarketTotal,MarketOverPrice,MarketUnderPrice,MarketProbTeamA,MarketProbTeamB,MarketBookCount,MoneylineHold,SpreadHold,TotalHold,OddsBundleMatchStatus,Season,OfficialTeamA,OfficialTeamB,GameLabel,TipDateTimeET,ScheduleGroup,RegionLetter,StrongSeed,WeakSeed,TeamASeed,TeamBSeed,NeedsPlayInWinner,PendingSeedBase,PendingFromGame,ScenarioLabel,ScenarioFromPlayIn
First Round,2026-03-20,1:35 PM,TNT,West,R1Z1,Arizona,LIU Brooklyn,1112,1254.0,,,,3d46d5cd1d0973df199c49b59b0286d5,2026-03-20T17:35:00Z,-100000.0,6000.0,-31.5,-110.0,-110.0,151.5,-110.0,-110.0,0.9838550991113048,0.0161449008886952,10.0,0.0114249325741684,0.0476190476190476,0.0476190476190476,exact,2026,Arizona,Long Island University,Arizona vs. Long Island University,2026-03-20 01:35 PM ET,round1_locked_runnable_now,Z,Z01,Z16,Z01,Z16,False,,,,
First Round,2026-03-20,1:50 PM,TBS,Midwest,R1Y3,Virginia,Wright St,1438,1460.0,,,,8cfeb3ec76f8fe79812a18838365b21b,2026-03-20T17:50:03Z,-2750.0,1206.0,-18.5,-110.0,-110.0,145.5,-110.0,-110.0,0.9264800722301044,0.0735199277698955,11.0,0.0414819591091051,0.0476190476190476,0.0476190476190476,exact,2026,Virginia,Wright State,Virginia vs. Wright State,2026-03-20 01:50 PM ET,round1_locked_runnable_now,Y,Y03,Y14,Y03,Y14,False,,,,
First Round,2026-03-20,2:50 PM,CBS,Midwest,R1Y2,Iowa St,Tennessee St,1235,1398.0,,,,ce1b7df6a9120896f02b2859be04bc9e,2026-03-20T18:50:00Z,-11250.0,2350.0,-25.0,-110.0,-110.0,149.5,-110.0,-110.0,0.9602204516383062,0.0397795483616938,10.0,0.029846565109874,0.0476190476190476,0.0476190476190476,exact,2026,Iowa State,Tennessee State,Iowa State vs. Tennessee State,2026-03-20 02:50 PM ET,round1_locked_runnable_now,Y,Y02,Y15,Y02,Y15,False,,,,
First Round,2026-03-20,3:15 PM,truTV,Midwest,R1Y4,Alabama,Hofstra,1104,1220.0,,,,971d9d8ad2fe2607f127a619109a8cdf,2026-03-20T19:15:56Z,-925.0,612.5,-12.5,-110.0,-109.5,159.5,-110.0,-110.0,0.8653651170316039,0.1346348829683961,10.0,0.0427750410509031,0.0476190476190476,0.0476190476190476,exact,2026,Alabama,Hofstra,Alabama vs. Hofstra,2026-03-20 03:15 PM ET,round1_locked_runnable_now,Y,Y04,Y13,Y04,Y13,False,,,,
First Round,2026-03-20,4:10 PM,TNT,West,R1Z8,Villanova,Utah St,1437,1429.0,,,,6396d6d59de88139cd308d04ccbd362c,2026-03-20T20:10:00Z,115.0,-135.0,2.0,-110.0,-110.0,147.0,-110.0,-110.0,0.447405997144217,0.552594002855783,11.0,0.0417578047325513,0.0476190476190476,0.0476190476190476,exact,2026,Villanova,Utah State,Villanova vs. Utah State,2026-03-20 04:10 PM ET,round1_locked_runnable_now,Z,Z08,Z09,Z08,Z09,False,,,,
First Round,2026-03-20,6:50 PM,TNT,South,R1X8,Clemson,Iowa,1155,1234.0,,,,99561d434de6bc73f538827ccca64168,2026-03-20T22:50:00Z,115.0,-135.0,2.0,-110.0,-110.0,129.5,-110.0,-110.0,0.447405997144217,0.552594002855783,11.0,0.0414078674948239,0.0475326560232221,0.0476190476190476,exact,2026,Clemson,Iowa,Clemson vs. Iowa,2026-03-20 06:50 PM ET,round1_locked_runnable_now,X,X08,X09,X08,X09,False,,,,
First Round,2026-03-20,7:10 PM,CBS,East,R1W5,St John's,Northern Iowa,1385,1320.0,,,,a50e57ea6aa17d46dda91f9a9d33fae8,2026-03-20T23:10:00Z,-600.0,446.0,-10.5,-110.0,-110.0,131.5,-110.0,-110.0,0.823943661971831,0.176056338028169,11.0,0.0438871473354232,0.0476190476190476,0.0476190476190476,exact,2026,St. John's,UNI,St. John's vs. UNI,2026-03-20 07:10 PM ET,round1_locked_runnable_now,W,W05,W12,W05,W12,False,,,,
First Round,2026-03-20,7:25 PM,TBS,East,R1W7,UCLA,UCF,1417,1416.0,,,,73aff5152ee4b2c05eff9ae407e6d65c,2026-03-20T23:25:00Z,-250.0,202.0,-6.0,-115.0,-105.0,152.5,-110.0,-110.0,0.6847102168060083,0.3152897831939917,11.0,0.0448028673835125,0.0470788428814521,0.0476190476190476,exact,2026,UCLA,UCF,UCLA vs. UCF,2026-03-20 07:25 PM ET,round1_locked_runnable_now,W,W07,W10,W07,W10,False,,,,
First Round,2026-03-20,7:35 PM,truTV,West,R1Z2,Purdue,Queens NC,1345,1474.0,,,,db3e72207fdfaed613898c7b4952610f,2026-03-20T23:35:00Z,-13000.0,2500.0,-25.5,-110.0,-110.0,163.5,-110.0,-110.0,0.9626064420584968,0.0373935579415032,10.0,0.0285605483625286,0.0476190476190476,0.0476190476190476,exact,2026,Purdue,Queens,Purdue vs. Queens,2026-03-20 07:35 PM ET,round1_locked_runnable_now,Z,Z02,Z15,Z02,Z15,False,,,,
First Round,2026-03-20,9:45 PM,CBS,East,R1W4,Kansas,Cal Baptist,1242,1465.0,,,,4ed1082ee462d367e6aef5bb3987f09f,2026-03-21T01:45:00Z,-1200.0,754.0,-14.5,-108.0,-112.0,138.0,-110.0,-110.0,0.8874263941808106,0.1125736058191894,11.0,0.0416666666666665,0.0475326560232221,0.0476190476190476,exact,2026,Kansas,Cal Baptist,Kansas vs. Cal Baptist,2026-03-20 09:45 PM ET,round1_locked_runnable_now,W,W04,W13,W04,W13,False,,,,
First Round,2026-03-20,10:00 PM,TBS,East,R1W2,Connecticut,Furman,1163,1202.0,,,,149f8ce2674cf5d5e2307fcb74cc8a71,2026-03-21T02:00:00Z,-5000.0,1600.0,-20.5,-110.0,-110.0,137.0,-110.0,-110.0,0.9433962264150944,0.0566037735849055,11.0,0.0392156862745096,0.0476190476190476,0.0476190476190476,exact,2026,UConn,Furman,UConn vs. Furman,2026-03-20 10:00 PM ET,round1_locked_runnable_now,W,W02,W15,W02,W15,False,,,,
First Round,2026-03-20,10:10 PM,truTV,West,R1Z7,Miami FL,Missouri,1274,1281.0,,,,e62a91878453459997f36fd803409c88,2026-03-21T02:10:00Z,-130.0,110.0,-2.0,-110.0,-110.0,147.5,-110.0,-110.0,0.5427435387673957,0.4572564612326043,11.0,0.043360433604336,0.0476190476190476,0.0476190476190476,exact,2026,Miami (Fla.),Missouri,Miami (Fla.) vs. Missouri,2026-03-20 10:10 PM ET,round1_locked_runnable_now,Z,Z07,Z10,Z07,Z10,False,,,,
First Round,2026-03-19,7:10 PM,CBS,Midwest,R1Y1,Michigan,UMBC,1276,1420.0,,,,,,,,,,,,,,,,,,,,missing,2026,Michigan,UMBC,Michigan vs. UMBC,2026-03-19 07:10 PM ET,round1_playin_scenarios_runnable_now,Y,Y01,Y16,Y01,Y16b,False,Y16,Winner of UMBC vs Howard,Michigan vs UMBC,True
First Round,2026-03-19,7:10 PM,CBS,Midwest,R1Y1,Michigan,Howard,1276,1224.0,,,,,,,,,,,,,,,,,,,,missing,2026,Michigan,Howard,Michigan vs. Howard,2026-03-19 07:10 PM ET,round1_playin_scenarios_runnable_now,Y,Y01,Y16,Y01,Y16a,False,Y16,Winner of UMBC vs Howard,Michigan vs Howard,True
First Round,2026-03-19,7:25 PM,TBS,West,R1Z6,BYU,Texas,1140,1400.0,,,,,,,,,,,,,,,,,,,,missing,2026,BYU,Texas,BYU vs. Texas,2026-03-19 07:25 PM ET,round1_playin_scenarios_runnable_now,Z,Z06,Z11,Z06,Z11b,False,Z11,Winner of Texas vs NC State,BYU vs Texas,True
First Round,2026-03-19,7:25 PM,TBS,West,R1Z6,BYU,NC State,1140,1301.0,,,,,,,,,,,,,,,,,,,,missing,2026,BYU,NC State,BYU vs. NC State,2026-03-19 07:25 PM ET,round1_playin_scenarios_runnable_now,Z,Z06,Z11,Z06,Z11a,False,Z11,Winner of Texas vs NC State,BYU vs NC State,True
First Round,2026-03-20,4:25 PM,TBS,Midwest,R1Y6,Tennessee,Miami OH,1397,1275.0,,,,,,,,,,,,,,,,,,,,missing,2026,Tennessee,Miami (Ohio),Tennessee vs. Miami (Ohio),2026-03-20 04:25 PM ET,round1_playin_scenarios_runnable_now,Y,Y06,Y11,Y06,Y11a,False,Y11,Winner of Miami OH vs SMU,Tennessee vs Miami OH,True
